Sample,PM(2.5),HCHO,TVOC,TEMP,HUM,CO2
1101,34,0.068,0.457,26,62,1410
1103,33,0.068,0.457,26,62,1410
1105,33,0.068,0.457,26,62,1411
1107,33,0.064,0.431,26,62,1411
1109,33,0.068,0.457,26,62,1413
1111,33,0.068,0.457,26,62,1414
1113,33,0.068,0.457,26,62,1414
1115,32,0.066,0.444,26,62,1416
1117,33,0.066,0.444,26,62,1417
1119,33,0.066,0.444,26,62,1417
1121,33,0.066,0.444,26,62,1419
1123,32,0.066,0.444,26,63,1419
1125,32,0.068,0.457,26,63,1419
1127,32,0.068,0.457,26,63,1420
1129,32,0.068,0.457,26,63,1420
1131,32,0.068,0.457,26,63,1421
1133,32,0.068,0.457,26,63,1422
1135,31,0.068,0.457,26,63,1422
1137,31,0.068,0.457,26,63,1423
1139,31,0.068,0.457,26,63,1423
1141,30,0.068,0.457,26,63,1424
1143,31,0.068,0.457,26,63,1427
1145,30,0.066,0.444,26,63,1427
1147,31,0.066,0.444,26,63,1427
1149,30,0.066,0.444,26,63,1429
1151,31,0.066,0.444,25,63,1429
1153,30,0.066,0.444,26,63,1431
1155,31,0.066,0.444,26,63,1432
1157,30,0.066,0.444,26,63,1432
1159,31,0.066,0.444,26,63,1433
1161,30,0.066,0.444,26,63,1434
1163,31,0.066,0.444,26,63,1434
1165,31,0.066,0.444,26,63,1434
1167,31,0.066,0.444,26,63,1434
1169,31,0.066,0.444,26,63,1434
1171,32,0.066,0.444,26,63,1434
1173,33,0.066,0.444,26,64,1434
1175,34,0.066,0.444,26,63,1433
1177,34,0.066,0.444,26,64,1432
1179,34,0.066,0.444,26,64,1432
1181,34,0.066,0.444,26,64,1431
1183,35,0.068,0.457,26,64,1431
1185,36,0.072,0.482,26,64,1430
1187,35,0.074,0.495,26,64,1429
1189,36,0.074,0.495,26,64,1429
1191,35,0.074,0.495,26,64,1428
1193,36,0.076,0.508,26,64,1428
1195,35,0.072,0.482,26,64,1428
1197,36,0.076,0.508,26,64,1428
